attributes,category_extraction_fns,threshold,weights,n_clusters_options,true_positives,false_positives,false_negatives,precision,recall,f1,jaccard_index,fbeta
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[6, 1, 1, 1, 1]",[60],5,105,137,0.045454545454545005,0.035211267605633,0.039682539682539,0.01592356687898,0.0429553264604811
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[6, 1, 1, 1, 1]",[80],5,91,137,0.052083333333333,0.035211267605633,0.042016806722689,0.01592356687898,0.04752851711026616
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[6, 1, 1, 1, 1]",[100],5,80,137,0.058823529411764004,0.035211267605633,0.044052863436123,0.01592356687898,0.05186721991701245
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.6000000000000001,"[6, 1, 1, 1, 1]",[120],5,71,137,0.06578947368421001,0.035211267605633,0.045871559633027005,0.01592356687898,0.05605381165919283
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[1, 1, 1, 1, 1]",[80],2,2,140,0.5,0.014084507042253001,0.027397260273972,0.0063091482649840006,0.06329113924050633
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[1, 1, 1, 1, 1]",[60],2,2,140,0.5,0.014084507042253001,0.027397260273972,0.0063091482649840006,0.06329113924050633
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[1, 1, 1, 1, 1]",[40],2,1,140,0.6666666666666661,0.014084507042253001,0.027586206896551002,0.0063091482649840006,0.06493506493506493
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[2, 1, 1, 1, 1]",[40],1,1,141,0.5,0.007042253521126001,0.013888888888888002,0.00314465408805,0.03333333333333333
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[1, 1, 1, 1, 1]",[120],2,0,140,1.0,0.014084507042253001,0.027777777777777003,0.0063091482649840006,0.06666666666666667
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[1, 1, 1, 1, 1]",[100],2,2,140,0.5,0.014084507042253001,0.027397260273972,0.0063091482649840006,0.06329113924050633
